"Libellé";"idBank";"Dernière mise à jour";"Période";"2024-T4";"2024-T3";"2024-T2";"2024-T1";"2023-T4";"2023-T3";"2023-T2";"2023-T1";"2022-T4";"2022-T3";"2022-T2";"2022-T1";"2021-T4";"2021-T3";"2021-T2";"2021-T1";"2020-T4";"2020-T3";"2020-T2";"2020-T1";"2019-T4";"2019-T3";"2019-T2";"2019-T1";"2018-T4";"2018-T3";"2018-T2";"2018-T1";"2017-T4";"2017-T3";"2017-T2";"2017-T1";"2016-T4";"2016-T3";"2016-T2";"2016-T1";"2015-T4";"2015-T3";"2015-T2";"2015-T1";"2014-T4";"2014-T3";"2014-T2";"2014-T1";"2013-T4";"2013-T3";"2013-T2";"2013-T1";"2012-T4";"2012-T3";"2012-T2";"2012-T1";"2011-T4";"2011-T3";"2011-T2";"2011-T1";"2010-T4";"2010-T3";"2010-T2";"2010-T1";"2009-T4";"2009-T3";"2009-T2";"2009-T1";"2008-T4";"2008-T3";"2008-T2";"2008-T1";"2007-T4";"2007-T3";"2007-T2";"2007-T1";"2006-T4";"2006-T3";"2006-T2";"2006-T1";"2005-T4";"2005-T3";"2005-T2";"2005-T1";"2004-T4";"2004-T3";"2004-T2";"2004-T1";"2003-T4";"2003-T3";"2003-T2";"2003-T1";"2002-T4";"2002-T3";"2002-T2";"2002-T1";"2001-T4";"2001-T3";"2001-T2";"2001-T1";"2000-T4";"2000-T3";"2000-T2";"2000-T1";"1999-T4";"1999-T3";"1999-T2";"1999-T1";"1998-T4";"1998-T3";"1998-T2";"1998-T1";"1997-T4";"1997-T3";"1997-T2";"1997-T1";"1996-T4";"1996-T3";"1996-T2";"1996-T1";"1995-T4"
"Dette trimestrielle des administrations publiques au sens de Maastricht - Ensemble - En point de PIB - Base 2020";"010777608";"24/03/2025 17:09";"";"";"113.7";"112.2";"110.6";"110.0";"111.2";"111.3";"112.1";"111.3";"113.1";"113.0";"114.4";"112.8";"115.6";"114.6";"117.8";"114.9";"115.2";"113.0";"101.2";"98.2";"99.9";"99.1";"99.4";"98.6";"99.4";"99.2";"99.1";"98.8";"100.2";"101.2";"100.8";"98.2";"99.2";"99.9";"98.9";"97.0";"97.7";"98.2";"98.0";"96.2";"96.5";"96.7";"96.1";"94.6";"94.0";"94.8";"93.3";"91.7";"91.3";"92.6";"91.2";"88.7";"88.4";"89.2";"87.7";"86.3";"86.4";"88.3";"85.9";"84.1";"82.5";"79.8";"74.7";"69.8";"67.8";"67.3";"66.8";"65.5";"66.8";"67.4";"66.5";"65.4";"66.9";"67.0";"68.1";"68.2";"67.9";"68.2";"67.8";"66.9";"67.0";"67.3";"65.9";"65.4";"65.4";"64.9";"62.7";"61.3";"60.7";"60.9";"59.6";"59.3";"59.7";"59.6";"58.7";"59.7";"59.8";"60.4";"60.5";"61.4";"62.1";"61.8";"62.3";"62.1";"62.6";"61.3";"61.2";"62.0";"63.0";"63.0";"60.8";"60.6";"60.0";"59.3";"58.6";"57.8"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
