35004,5.8281,5.9375,5.9375,5.875,5.8125,5.8125,5.715,5.815,5.925,6.015,6.155,6.345,6.57,6.65,6.65
35011,5.8125,5.9258,5.875,5.75,5.6875,5.6875,5.645,5.765,5.875,5.965,6.115,6.305,6.53,6.62,6.61
35018,5.8125,5.9336,5.875,5.75,5.6875,5.6875,5.675,5.795,5.915,6.005,6.165,6.335,6.56,6.66,6.65
35025,5.8125,5.9141,5.8672,5.6875,5.625,5.625,5.665,5.765,5.895,5.995,6.145,6.325,6.52,6.59,6.66
35032,5.9727,5.9062,5.875,5.6953,5.625,5.625,5.565,5.675,5.785,5.895,6.055,6.235,6.43,6.51,6.59
35039,5.9375,5.8594,5.8125,5.625,5.5547,5.5,5.465,5.555,5.655,5.745,5.895,6.055,6.26,6.35,6.4
35046,5.9375,5.8633,5.8125,5.6602,5.5742,5.5625,5.515,5.615,5.745,5.835,5.965,6.125,6.32,6.39,6.42
35053,5.75,5.6875,5.668,5.5547,5.4844,5.4375,5.475,5.575,5.715,5.825,5.965,6.135,6.34,6.43,6.47
35060,5.75,5.6875,5.6875,5.5625,5.4805,5.4414,5.385,5.505,5.625,5.735,5.875,6.045,6.26,6.35,6.37
35067,5.625,5.625,5.625,5.5,5.4375,5.375,5.305,5.425,5.535,5.635,5.785,5.965,6.18,6.27,6.3
35074,5.625,5.625,5.5898,5.4766,5.3906,5.3633,5.365,5.515,5.665,5.775,5.955,6.165,6.39,6.48,6.51
35081,5.6133,5.5625,5.5586,5.4336,5.3125,5.25,5.155,5.285,5.425,5.535,5.725,5.935,6.18,6.28,6.32
35088,5.5625,5.5352,5.5,5.375,5.3008,5.2344,5.155,5.305,5.455,5.575,5.765,5.965,6.2,6.31,6.34
35095,5.4375,5.3984,5.375,5.2656,5.1875,5.125,5.035,5.205,5.375,5.495,5.715,5.955,6.19,6.3,6.35
35102,5.3633,5.3516,5.3008,5.1836,5.1211,5.0625,5.025,5.205,5.395,5.545,5.785,6.055,6.3,6.42,6.49
35109,5.3125,5.3125,5.25,5.125,5.0625,4.9961,4.945,5.115,5.285,5.455,5.695,6.005,6.25,6.37,6.46
35116,5.3125,5.3125,5.293,5.25,5.2461,5.2422,5.315,5.495,5.675,5.815,6.055,6.345,6.59,6.69,6.76
35123,5.3125,5.3125,5.2695,5.25,5.25,5.25,5.545,5.745,5.905,6.035,6.245,6.495,6.74,6.84,6.84
35130,5.3125,5.3125,5.293,5.25,5.2539,5.2656,5.485,5.695,5.875,5.995,6.205,6.455,6.68,6.79,6.81
35137,5.375,5.375,5.4141,5.4414,5.5547,5.6719,5.895,6.105,6.265,6.395,6.565,6.765,6.96,7.07,7.06
35144,5.4102,5.4102,5.4375,5.5,5.625,5.75,5.925,6.115,6.265,6.365,6.555,6.765,6.96,7.04,7.04
35151,5.4219,5.4258,5.4375,5.4492,5.5117,5.625,5.975,6.165,6.315,6.435,6.595,6.755,6.95,7.05,7.06
35158,5.4375,5.4375,5.4609,5.5,5.6016,5.6875,5.945,6.145,6.295,6.385,6.565,6.705,6.88,6.98,7.03
35165,5.5,5.5,5.5352,5.6172,5.7383,5.8711,6.275,6.475,6.645,6.755,6.925,7.055,7.24,7.31,7.31
