34703,0.028803,0.041905,0.060071,0.071437,0.066246,0.061693,0.068826,0.088284,0.084829,0.072904,0.077223,0.067822,0.055818,0.056451,0.043149,5.9079,6.3103,6.5087,7.1416,7.661,8.0127,8.1631,8.2365,8.2796,8.31,8.3582,8.4436,8.6163,8.7628,8.9154
34710,0.051442,0.055071,0.058368,0.06028,0.061061,0.064515,0.066839,0.076565,0.083604,0.077362,0.074932,0.066532,0.050944,0.041584,0.030281,5.8857,6.1309,6.3288,6.8516,7.2875,7.6324,7.9543,8.0934,8.1424,8.1574,8.1541,8.1489,8.1956,8.2707,8.382
34717,0.056424,0.056835,0.057101,0.058223,0.061485,0.065617,0.065604,0.071115,0.082709,0.079083,0.071885,0.065937,0.054804,0.040091,0.023826,5.88,6.1232,6.3106,6.7449,7.1261,7.4574,7.8306,7.9865,8.0415,8.0651,8.0863,8.1093,8.1618,8.2217,8.309
34724,0.05799,0.059101,0.060534,0.060522,0.060074,0.064609,0.067692,0.072279,0.081231,0.078247,0.072748,0.067016,0.057501,0.040088,0.022053,6.0534,6.2036,6.3675,6.8122,7.1859,7.4984,7.8298,7.9907,8.0611,8.1001,8.145,8.186,8.241,8.2925,8.3658
34731,0.060293,0.061061,0.061716,0.060726,0.059178,0.063768,0.066199,0.065608,0.080026,0.080281,0.069812,0.065329,0.057179,0.038736,0.020773,6.1199,6.1958,6.3106,6.6401,6.9569,7.2594,7.6669,7.8508,7.9208,7.9567,8.0011,8.0481,8.1107,8.1658,8.2435
34738,0.06103,0.061133,0.06115,0.061008,0.060177,0.061426,0.065115,0.066259,0.076553,0.077257,0.067041,0.064855,0.057371,0.036631,0.020239,6.1263,6.1768,6.263,6.5638,6.8611,7.1353,7.474,7.6392,7.713,7.7599,7.8277,7.8973,7.974,8.034,8.118
34745,0.060907,0.060799,0.060728,0.061133,0.0613,0.060681,0.063248,0.06979,0.07706,0.071308,0.066912,0.066052,0.055432,0.034064,0.022908,6.1272,6.1798,6.2544,6.5684,6.8878,7.157,7.4016,7.5307,7.6062,7.6628,7.7424,7.8117,7.883,7.946,8.0421
34752,0.060652,0.06048,0.060377,0.060965,0.061994,0.06117,0.061622,0.068939,0.072823,0.06561,0.065396,0.067985,0.05384,0.031028,0.030304,6.1194,6.1847,6.2482,6.502,6.7628,6.9779,7.1285,7.2576,7.3632,7.4509,7.5728,7.6692,7.7622,7.8468,7.9759
34759,0.060697,0.060757,0.060852,0.060834,0.061069,0.062597,0.06274,0.061079,0.069968,0.07003,0.061825,0.06525,0.055832,0.030551,0.030913,6.124,6.1909,6.2521,6.4101,6.584,6.7674,6.9864,7.1417,7.2429,7.3245,7.449,7.5665,7.6874,7.7855,7.9246
34766,0.060493,0.060277,0.06015,0.061017,0.06244,0.063121,0.064065,0.064679,0.073101,0.070874,0.062145,0.065722,0.059563,0.030035,0.030183,6.129,6.2388,6.3251,6.5501,6.7718,6.9802,7.179,7.3041,7.3879,7.462,7.5854,7.7065,7.8214,7.9071,8.029
34773,0.060491,0.060645,0.060926,0.061018,0.060857,0.062316,0.063875,0.060487,0.069432,0.069357,0.05824,0.063525,0.058062,0.027159,0.031408,6.1232,6.1894,6.2554,6.4187,6.5813,6.7502,6.921,7.0383,7.1186,7.1932,7.3238,7.4579,7.59,7.6904,7.8338
34780,0.060832,0.060947,0.061053,0.060878,0.060466,0.062367,0.064709,0.059683,0.068628,0.07163,0.060732,0.063546,0.061171,0.02742,0.029713,6.1244,6.1863,6.257,6.4216,6.5774,6.7475,6.9673,7.1242,7.2238,7.3074,7.446,7.584,7.7104,7.7989,7.9244
34787,0.061305,0.061497,0.061491,0.060234,0.059265,0.06428,0.067105,0.058277,0.066885,0.070145,0.06219,0.061021,0.061227,0.027821,0.024959,6.1205,6.1992,6.3018,6.4775,6.5949,6.7302,6.9073,7.0657,7.1674,7.2497,7.3835,7.5186,7.6423,7.7245,7.8398
34794,0.061301,0.061303,0.061186,0.060669,0.059948,0.062606,0.06533,0.059397,0.068706,0.069191,0.061101,0.060022,0.061603,0.028436,0.024245,6.1245,6.1821,6.2591,6.4306,6.5785,6.7362,6.9143,7.0488,7.1353,7.2104,7.3419,7.4837,7.6177,7.7044,7.8214
