34703,0.056437,0.079716,0.077886,5.9252,6.1728,6.3917,6.9181,7.3092,7.6156,7.9379,8.146,8.263,8.3352,8.409,8.4335,8.3891,8.3179,8.1902
34710,0.056175,0.079276,0.076204,5.8968,6.1421,6.3588,6.8785,7.2629,7.5627,7.8693,8.0646,8.1723,8.2379,8.3039,8.3241,8.2799,8.2112,8.0881
34717,0.056274,0.077293,0.076001,5.8843,6.1105,6.311,6.7948,7.1566,7.4418,7.7435,7.946,8.0632,8.1377,8.2176,8.2513,8.2191,8.1565,8.0392
34724,0.057742,0.076568,0.077247,6.0081,6.215,6.3992,6.8479,7.1887,7.4618,7.7533,7.9632,8.0895,8.172,8.2634,8.3061,8.2789,8.217,8.0984
34731,0.058258,0.073412,0.076801,6.0202,6.1935,6.3491,6.7342,7.0345,7.2814,7.5572,7.7754,7.915,8.0102,8.1223,8.1855,8.1768,8.1244,8.0151
34738,0.058789,0.070736,0.075447,6.0387,6.1824,6.3124,6.6399,6.9019,7.1225,7.3719,7.5869,7.7302,7.8308,7.9535,8.0295,8.0349,7.9914,7.892
34745,0.059176,0.070052,0.074084,6.0659,6.1994,6.3205,6.6265,6.8727,7.0812,7.3075,7.5103,7.6461,7.742,7.8599,7.934,7.9414,7.9008,7.8061
34752,0.05992,0.066821,0.073037,6.0975,6.1945,6.2843,6.5202,6.7209,6.8991,7.0985,7.3027,7.4472,7.5526,7.6874,7.7797,7.8051,7.775,7.6912
34759,0.060515,0.063952,0.072909,6.1199,6.1853,6.2482,6.4249,6.5884,6.743,6.929,7.1428,7.3012,7.4197,7.5751,7.6874,7.7302,7.7088,7.6329
34766,0.060852,0.065988,0.074062,6.1722,6.2536,6.3302,6.538,6.7222,6.8911,7.0865,7.2996,7.4538,7.5676,7.7142,7.8161,7.8472,7.8183,7.734
34773,0.060927,0.063101,0.071543,6.1475,6.201,6.2534,6.4054,6.5512,6.6925,6.8547,7.0569,7.2087,7.3234,7.4753,7.5871,7.6331,7.6153,7.5448
34780,0.060908,0.063131,0.073268,6.1463,6.2008,6.2545,6.4112,6.5627,6.7101,6.8932,7.1124,7.277,7.4011,7.5648,7.6843,7.7324,7.7129,7.6383
34787,0.061282,0.062809,0.072355,6.1762,6.2242,6.272,6.4146,6.5557,6.695,6.8607,7.0703,7.2289,7.3489,7.5081,7.6253,7.6738,7.656,7.5842
34794,0.061117,0.062718,0.071855,6.1604,6.2088,6.257,6.3999,6.5404,6.6788,6.8412,7.0473,7.2032,7.3212,7.478,7.5938,7.6424,7.6254,7.5552
34801,0.061319,0.061999,0.071103,6.1706,6.2104,6.2511,6.3766,6.5051,6.6347,6.7843,6.9854,7.1392,7.2564,7.4133,7.5308,7.5827,7.5686,7.502
34808,0.061728,0.060031,0.071676,6.1861,6.2045,6.227,6.3134,6.4184,6.5343,6.6823,6.8966,7.0649,7.1948,7.3706,7.5049,7.5696,7.5608,7.4981
34815,0.061117,0.059661,0.071461,6.1274,6.1477,6.172,6.2624,6.3701,6.4878,6.6431,6.8607,7.0313,7.163,7.3415,7.4785,7.546,7.5389,7.478
34822,0.061195,0.059541,0.069939,6.1329,6.1509,6.1729,6.2565,6.3575,6.4687,6.6045,6.8072,6.9669,7.0906,7.2593,7.3902,7.4565,7.4512,7.3945
34829,0.061408,0.054637,0.066935,6.0987,6.0691,6.05,6.0404,6.0794,6.148,6.2402,6.4366,6.6017,6.734,6.9208,7.0749,7.1689,7.182,7.1469
34836,0.061849,0.054828,0.065239,6.1401,6.1077,6.0858,6.0678,6.0987,6.1591,6.2239,6.3999,6.5499,6.671,6.8436,6.988,7.0783,7.0925,7.0613
34843,0.062263,0.053697,0.06341,6.1647,6.1177,6.083,6.0346,6.0435,6.0874,6.1225,6.2835,6.4251,6.5413,6.7095,6.8535,6.9487,6.9685,6.9456
34850,0.062038,0.052187,0.062585,6.1282,6.0692,6.0241,5.9524,5.946,5.9796,6.0071,6.1689,6.3138,6.4337,6.6088,6.761,6.8653,6.8911,6.8751
34857,0.061414,0.049586,0.062548,6.0442,5.967,5.9066,5.8021,5.7764,5.7989,5.8335,6.0119,6.1736,6.3081,6.5052,6.6781,6.8001,6.8345,6.8264
34864,0.062399,0.0489,0.062303,6.125,6.0327,5.9592,5.8253,5.7802,5.7897,5.8044,5.978,6.139,6.274,6.4731,6.6487,6.7738,6.8103,6.8044
